gene	driver_prob	is_driver	is_labeled
CHD8	0.6311341	0	0
CSF1R	0.6310506	0	0
GLI2	0.6304612	0	0
IQGAP1	0.63011086	0	0
SRSF1	0.62989825	0	0
GNAQ	0.6294649	1	1
FGFR1	0.6292992	1	1
KAT2B	0.628797	0	1
ACTG1	0.62872857	0	0
VPS13C	0.6275999	0	0
RPS8	0.6274355	0	0
COL3A1	0.627164	0	0
XRN1	0.6270329	0	0
MAPK14	0.6269294	0	0
MRPS15	0.626836	0	0
GRIN2B	0.6267847	0	0
RB1CC1	0.62635684	0	0
BCL2L1	0.62633306	0	0
DOCK4	0.6258658	0	0
CD274	0.62583154	1	1
PRKCB	0.6256016	0	0
VCL	0.62557995	0	0
NDUFAB1	0.62523234	0	0
SPEF2	0.6251739	0	0
SMC3	0.62470543	0	0
ATR	0.6246711	1	1
SMARCA2	0.6246239	0	0
EIF4B	0.6245429	0	0
CYBB	0.6243276	0	0
PREX2	0.62361616	1	1
DDX58	0.62351286	0	0
RPS11	0.6232855	0	0
ITSN2	0.6231419	0	0
EP400	0.6230897	0	0
KIF23	0.62306607	0	0
GMPS	0.6230428	0	0
CALM1	0.62297314	0	0
SDHB	0.6228387	1	1
CDC73	0.6227885	1	1
FANCM	0.62278557	0	0
AGRN	0.6227721	0	0
LOX	0.6226286	0	0
MAPK8	0.6225266	0	0
NID1	0.6218973	0	0
DYNC2H1	0.6216656	0	0
TNN	0.6216086	0	0
ASXL1	0.6215373	1	1
LDHA	0.62147844	0	0
CDK4	0.6213538	1	1
PRUNE2	0.6213287	0	0
CCT2	0.62090504	0	0
PRKG1	0.6207351	0	0
PRDM9	0.62069046	0	0
PGR	0.62051445	0	0
HLA-DRA	0.62022024	0	0
UBE3A	0.61995804	0	0
RBM39	0.61992085	0	0
CDH5	0.61976886	0	0
NIPBL	0.61973894	0	0
RPL12	0.6191956	0	0
USP9X	0.61916256	0	0
CALR	0.6190246	1	1
DLG2	0.61884373	0	0
SELP	0.61878026	0	0
RPS19	0.618772	0	0
TBP	0.618762	0	0
PRPF8	0.6183923	0	0
CLTC	0.61828667	1	1
LEPR	0.61827344	0	0
SCARB2	0.61819	0	0
ITPR2	0.61804676	0	0
DDX21	0.6179478	0	0
GRM1	0.61788476	0	0
MAP2K1	0.6178268	1	1
HDAC2	0.617705	0	0
NRP1	0.61760855	0	0
SHH	0.6175866	0	0
FGFR2	0.6172122	1	1
EDNRB	0.61706334	0	0
PRKCA	0.6169187	0	0
HMGCR	0.6168906	0	0
HNRNPK	0.6164745	0	0
LAMB1	0.61613595	0	0
FAU	0.6160954	0	0
SETBP1	0.6160782	1	1
RBX1	0.61572635	0	0
DIDO1	0.6157184	0	1
NRXN3	0.61563647	0	0
AGO2	0.6153769	0	0
SMARCA5	0.61517626	0	0
ASH1L	0.6148919	0	0
SYK	0.6147493	1	1
EIF4E	0.6146371	0	0
PRRC2C	0.614632	0	0
FOXO3	0.61430806	1	1
ITGAV	0.61397445	0	0
DNAJC10	0.6136612	0	0
FYN	0.613305	0	0
YY1	0.6127124	0	0
PTPRT	0.6125858	1	1
USP7	0.6123658	0	0
AASDH	0.61224407	0	0
MET	0.61217237	1	1
ADCY8	0.61147773	0	0
HRNR	0.6110718	0	0
CHD7	0.6106292	0	0
ROS1	0.6103574	1	1
TRPA1	0.6103414	0	0
CCT4	0.61017257	0	0
POLR3B	0.60990506	0	0
GSR	0.6097906	0	0
RRM1	0.60974157	0	0
MRPL3	0.60965157	0	0
IMP3	0.6092459	0	0
ANXA2	0.6090567	0	0
CREB1	0.6089002	1	1
CSNK2A1	0.608894	0	0
PPIA	0.6088835	0	0
KALRN	0.6084138	0	0
COPS5	0.6081105	0	0
PRMT5	0.607978	0	0
SLC1A3	0.60766697	0	0
HNRNPU	0.60765755	0	0
VDAC1	0.60761553	0	0
MYH11	0.60755736	1	1
GRIA1	0.6074356	0	0
ABCG2	0.6072761	0	0
COL14A1	0.60691726	0	0
RUNX1	0.60681516	1	1
TG	0.60676205	0	0
SCN1A	0.60621995	0	0
CHMP4C	0.60621554	0	0
DAB2	0.60613	0	0
TUBB	0.6060567	0	0
SNRPD2	0.6056714	0	0
EIF2AK4	0.6054457	0	0
RPS12	0.60533834	0	0
RPL38	0.6052253	0	0
RUVBL1	0.6051401	0	0
KPRP	0.6050078	0	0
RPL15	0.6049854	0	0
EZR	0.6047943	1	1
CDK1	0.60417444	0	0
ITGB1	0.6040582	0	0
OASL	0.603979	0	0
SP100	0.60353756	0	0
GATA2	0.6035326	1	1
UQCRC2	0.60315627	0	0
ERBB3	0.60305935	1	1
FBL	0.60267144	0	0
MUC17	0.6025955	0	0
DIP2B	0.6024537	0	0
PLCG2	0.601811	0	0
IL2	0.6017807	1	1
IRS1	0.6016532	0	0
PIK3C3	0.6012672	0	0
MYD88	0.60093844	1	1
SMC1A	0.6008261	0	0
MYC	0.60062486	1	1
TLN1	0.60041094	0	0
RPL30	0.5999819	0	0
JAK1	0.5998248	1	1
SUMO2	0.59955966	0	1
TGFBR1	0.5992199	0	0
LYN	0.59895575	0	0
PPP1CC	0.59890753	0	0
FOXP2	0.598557	0	0
DLG4	0.5983914	0	0
CALML6	0.5983671	0	0
PPARA	0.5980085	0	0
PGK1	0.59778017	0	0
RAC1	0.5976605	1	1
BDP1	0.5974527	0	0
